name,latitude,longitude
University of Toledo,41.65723265,-83.61593123
University of Utah,40.76252098,-111.8460847
University of Vermont (UVM),44.47924444,-73.19815007
University of Virginia (UVA),38.0339319,-78.51188173
University of Washington (UW),47.65576361,-122.310826
University of Wisconsin (UW) - Eau Claire,44.79843558,-91.50041077
University of Wisconsin (UW) - Green Bay,44.53112405,-87.92048309
University of Wisconsin (UW) - La Crosse,43.81535385,-91.23012423
University of Wisconsin (UW) - Madison,43.07386408,-89.40536833
University of Wisconsin (UW) - Milwaukee,43.07683307,-87.88050224
University of Wisconsin (UW) - Oshkosh,44.02500501,-88.54932897
University of Wisconsin (UW) - Parkside,42.64604154,-87.8553609
University of Wisconsin (UW) - Platteville,42.73420464,-90.48795107
University of Wisconsin (UW) - Stevens Point,44.52963016,-89.57096783
University of Wisconsin (UW) - Stout,44.87177501,-91.92526267
University of Wisconsin (UW) - Whitewater,42.83551777,-88.74238729
University of Wyoming (UW),41.3119922,-105.5719939
Ursinus College,40.19421361,-75.45806935
Utah State University,41.74072048,-111.8138724
Utah Valley State College,40.27854162,-111.7170384
Vassar College,41.68595666,-73.89753317
Virginia Commonwealth University (VCU),37.54761156,-77.45361877
Virginia Polytechnic Institute and State University (Virginia Tech),37.22988073,-80.41995659
Washington and Lee University,37.78901182,-79.44284555
Washington State University (WSU),46.73040863,-117.1582114
Wayne State University,42.35856301,-83.07291087
Wellesley College,42.29372017,-71.30663834
Wentworth Institute of Technology,42.33658219,-71.09498046
"Wesleyan University (Middletown, Connecticut)",41.55677397,-72.65680151
West Virginia University (WVU),39.63472844,-79.95392599
Western Carolina University,35.30937051,-83.18457292
Western Michigan University (WMU),42.28075457,-85.61348741
Western Washington University,34.05805698,-117.7476964
Whitman College,46.07148114,-118.3297319
Williams College,42.71280372,-73.20302877
Wittenberg University,39.934815,-83.81392283
Worcester Polytechnic Institute (WPI),42.27438486,-71.80980612
Yale University,41.31227492,-72.92255779
